origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Clevedon	United Kingdom	51.438	-2.854		Middelkerke	51.1847	2.8192		Belgium	395	EU
Droitwich Spa	United Kingdom	52.267	-2.153		Gyula	46.65	21.282777777778	30658	Hungary	1796	EU
Sittingbourne	United Kingdom	51.34	0.74		Ypres	50.85	2.8833333333333	19995	Belgium	159	EU
Reading	United Kingdom	51.454166666667	-0.97305555555556		Clonmel	52.3539	-7.7116		Ireland	473	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Bellagio	45.9875	9.2619444444444		Italy	1027	EU
Hastings	United Kingdom	50.85	0.57		Oudenaarde	50.85	3.6		Belgium	213	EU
Nuneaton	United Kingdom	52.523	-1.4683		Guadalajara	40.633333333333	-3.1666666666667	83633	Spain	1328	EU
Manchester	United Kingdom	53.466666666667	-2.2333333333333	511852	Córdoba	37.883333333333	-4.7666666666667	326609	Spain	1744	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Oxelösund	58.666666666667	17.116666666667	15085	Sweden	1514	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Houffalize	50.13202	5.78936		Belgium	594	EU
Romsey	United Kingdom	50.989	-1.4966		Treviglio	45.521388888889	9.5927777777778		Italy	1020	EU
Christchurch	United Kingdom	50.73	-1.78		Saint-Ghislain	50.45	3.8166666666667		Belgium	396	EU
Ramsgate	United Kingdom	51.343911111111	1.4040305555556		Chimay	50.0483	4.315		Belgium	251	EU
Scarborough	United Kingdom	54.283333333333	-0.4		Cahir	52.385868	-7.921658		Ireland	542	EU
Cambridge	United Kingdom	52.208055555556	0.1225	123867	Gaeta	41.216666666667	13.566666666667		Italy	1590	EU
Luton	United Kingdom	51.9	-0.43333333333333		Eskilstuna	59.366666666667	16.516666666667	68596	Sweden	1343	EU
Wakefield	United Kingdom	53.6801	-1.492		Girona	41.983333333333	2.8166666666667	98255	Spain	1339	EU
Lancaster	United Kingdom	54.047	-2.801		Växjö	56.883333333333	14.783333333333	39019	Sweden	1149	EU
Abingdon	United Kingdom	51.666944444444	-1.2827777777778		Sint-Niklaas	51.164444444444	4.1391666666667		Belgium	380	EU
Bradford	United Kingdom	53.794	-1.751	76996	Verviers	50.583333333333	5.85	55463	Belgium	629	EU
Ballymena	United Kingdom	54.862	-6.268		Castlebar	53.8608	-9.2988		Ireland	226	EU
Burton Latimer	United Kingdom	52.365	-0.678		Castelnuovo Magra	44.099366666667	10.017786111111		Italy	1211	EU
Musselburgh	United Kingdom	55.933333333333	-3.05		Rosignano Marittimo	43.4	10.466666666667		Italy	1693	EU
East Grinstead	United Kingdom	51.129	-0.007		Sant Feliu de Guíxols	41.780556	3.030556	21760	Spain	1065	EU
Christchurch	United Kingdom	50.73	-1.78		Tatabánya	47.58616	18.39485	66791	Hungary	1503	EU
Mumbles	United Kingdom	51.573	-3.9992		Kinsale	51.7075	-8.5305556	4893	Ireland	313	EU
Chesham	United Kingdom	51.703	-0.602		Archena	38.115	-1.2991666666667	18734	Spain	1512	EU
Ramsgate	United Kingdom	51.343911111111	1.4040305555556		Frederikssund	55.833333333333	12.05		Denmark	860	EU
Helston	United Kingdom	50.1	-5.27	9780	Sasso Marconi	44.4	11.25		Italy	1395	EU
Sudbury	United Kingdom	52.0417	0.72815		Fredensborg Municipality	55.966666666667	12.4	40112	Denmark	877	EU
Coventry	United Kingdom	52.416666666667	-1.5166666666667		Cork	51.9	-8.4730555555556	119230	Ireland	478	EU
Chorley	United Kingdom	53.653	-2.632		Székesfehérvár	47.2	18.416666666667	98673	Hungary	1646	EU
Bradford	United Kingdom	53.794	-1.751	76996	Galway	53.2729	-9.0418	75529	Ireland	485	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Bundoran	54.4754	-8.2838		Ireland	552	EU
Ellesmere, Shropshire	United Kingdom	52.9082	-2.8944		Diksmuide	51.033333333333	2.8666666666667		Belgium	446	EU
Brading	United Kingdom	50.679	-1.14		Arnasco	44.077980555556	8.1072027777778		Italy	1010	EU
Broxbourne	United Kingdom	51.7495	-0.0216		Sutera	37.5244	13.735277777778		Italy	1913	EU
Poynton	United Kingdom	53.348	-2.114		Érd	47.383333333333	18.916666666667	63993	Hungary	1625	EU
Newcastle upon Tyne	United Kingdom	54.977777777778	-1.6133333333333	282442	Malmö Municipality	55.583333333333	13.033333333333		Sweden	928	EU
